Species,Peak Freq (Hz),Q1 Freq (Hz),Q3 Freq (Hz),IQR BW (Hz),Freq 5% (Hz),Freq 95% (Hz),BW 90% (Hz)
CLRA,2695.3,2625,3421.9,796.9,2039.1,4171.9,2132.8
CLRA,2789.1,2601.6,2812.5,210.9,2437.5,4523.4,2085.9
CLRA,2625,2507.8,3187.5,679.7,1968.8,3609.4,1640.6
CLRA,2718.8,2648.4,3164.1,515.6,1828.1,3679.7,1851.6
CLRA,3000,2648.4,3023.4,375,1992.2,4101.6,2109.4
CLRA,2531.2,2226.6,2742.2,515.6,2039.1,3210.9,1171.9
CLRA,2906.2,2203.1,2882.8,679.7,1828.1,3187.5,1359.4
CLRA,2414.1,2414.1,2718.8,304.7,2226.6,3117.2,890.6
CLRA,2789.1,2296.9,2953.1,656.2,2039.1,3585.9,1546.9
CLRA,3492.2,2765.6,4335.9,1570.3,2062.5,4921.9,2859.4
CLRA,2929.7,2437.5,2929.7,492.2,1921.9,3679.7,1757.8
CLRA,3328.1,2671.9,3539.1,867.2,1757.8,4242.2,2484.4
CLRA,3117.2,2296.9,3492.2,1195.3,1804.7,4593.8,2789.1
CLRA,2695.3,2460.9,3210.9,750,1664.1,4429.7,2765.6
CLRA,2484.4,2484.4,3140.6,656.2,1757.8,4710.9,2953.1
CLRA,3281.2,2601.6,3328.1,726.6,2343.8,4734.4,2390.6
CLRA,2695.3,2625,2976.6,351.6,2343.8,3843.8,1500
CLRA,4664.1,2085.9,4195.3,2109.4,1617.2,4757.8,3140.6
CLRA,2578.1,2648.4,3867.2,1218.8,2390.6,4945.3,2554.7
CLRA,4406.2,2203.1,4429.7,2226.6,1875,4828.1,2953.1
CLRA,2742.2,2765.6,3984.4,1218.8,1921.9,4265.6,2343.8
CLRA,2554.7,2601.6,3468.8,867.2,2414.1,4125,1710.9
CLRA,2742.2,2742.2,3656.2,914.1,2320.3,4851.6,2531.2
CLRA,2531.2,2367.2,3281.2,914.1,1734.4,4664.1,2929.7
CLRA,2742.2,2742.2,3609.4,867.2,2109.4,4546.9,2437.5
CLRA,2718.8,2695.3,2765.6,70.3,2320.3,4312.5,1992.2
CLRA,2648.4,2226.6,2929.7,703.1,1828.1,3562.5,1734.4
